                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5266,                 1.5081,                 1.0685,                0.75008,                0.72617,                 0.7978,                0.64135,                0.64752,                 1.4077,                 1.3327,             0.00033207,             0.00033207,             0.00033207
                      2,                0.62346,                 1.0809,                 1.1183,                0.78517,                0.61855,                0.80309,                0.58148,                0.91724,                 1.3649,                 1.5693,             0.00065222,             0.00065222,             0.00065222
                      3,                0.64807,                 1.0691,                 1.1304,                0.74017,                0.74251,                0.77141,                0.58314,                0.77751,                 1.0563,                 1.4023,             0.00095918,             0.00095918,             0.00095918
                      4,                0.63407,                 1.0091,                 1.1232,                0.84115,                0.68491,                0.85526,                0.69149,                0.66743,                0.87362,                 1.3052,              0.0009406,              0.0009406,              0.0009406
                      5,                0.60393,                 0.9134,                 1.1088,                0.86063,                0.73298,                0.87154,                0.73582,                0.61255,                0.73187,                 1.2769,              0.0009406,              0.0009406,              0.0009406
                      6,                0.56211,                0.87832,                  1.089,                0.82908,                0.88749,                0.89972,                0.74242,                0.68336,                0.67758,                 1.2903,              0.0009208,              0.0009208,              0.0009208
                      7,                0.55019,                0.83972,                 1.0813,                0.90961,                0.88624,                0.95122,                0.81117,                0.53188,                0.55413,                 1.1657,               0.000901,               0.000901,               0.000901
                      8,                0.53292,                0.78715,                 1.0681,                0.94328,                0.87586,                0.92216,                0.79437,                 0.5456,                0.55667,                 1.1873,              0.0008812,              0.0008812,              0.0008812
                      9,                0.51932,                0.76214,                 1.0569,                0.90431,                0.89425,                0.93408,                0.81998,                0.50631,                0.54921,                 1.1424,              0.0008614,              0.0008614,              0.0008614
                     10,                0.49437,                0.73725,                 1.0485,                0.91529,                0.94923,                0.94054,                0.83002,                0.48561,                0.52643,                 1.1186,              0.0008416,              0.0008416,              0.0008416
                     11,                0.49238,                0.69497,                 1.0454,                0.93296,                0.94099,                0.95257,                0.84791,                0.48676,                0.52008,                  1.119,              0.0008218,              0.0008218,              0.0008218
                     12,                0.48389,                0.69613,                 1.0449,                0.94187,                0.90559,                0.94651,                0.85624,                0.44621,                0.46183,                 1.0926,               0.000802,               0.000802,               0.000802
                     13,                  0.472,                0.66612,                 1.0323,                0.95087,                0.91005,                0.93432,                0.84903,                0.43901,                0.45574,                  1.077,              0.0007822,              0.0007822,              0.0007822
                     14,                0.47123,                0.65654,                 1.0333,                0.85935,                0.84974,                0.88396,                0.79449,                 0.4161,                0.45984,                 1.0555,              0.0007624,              0.0007624,              0.0007624
